Division,Event_Unique_Id,Homicide_Type,Hood_ID,Neighbourhood,ObjectId,Occurrence_Date,Occurrence_year,_id,geometry
D53,3586765,Stabbing,95,Annex (95),115,2009-11-04T00:00:00,2009,115,"{'type': 'Point', 'coordinates': (-79.39910492, 43.67269013)}"
D55,3593532,Other,70,South Riverdale (70),116,2009-11-07T00:00:00,2009,116,"{'type': 'Point', 'coordinates': (-79.35429893, 43.66504781)}"
D14,3411009,Stabbing,79,University (79),117,2009-11-07T00:00:00,2009,117,"{'type': 'Point', 'coordinates': (-79.40743417, 43.66591416)}"
D55,3593574,Other,70,South Riverdale (70),118,2010-01-02T00:00:00,2010,118,"{'type': 'Point', 'coordinates': (-79.35429893, 43.66504781)}"
D13,3425609,Shooting,107,Oakwood Village (107),119,2009-11-11T00:00:00,2009,119,"{'type': 'Point', 'coordinates': (-79.43886354, 43.6915407)}"
D23,2776015,Shooting,6,Kingsview Village-The Westway (6),120,2009-11-17T00:00:00,2009,120,"{'type': 'Point', 'coordinates': (-79.55059847, 43.68822998)}"
D52,3358995,Shooting,76,Bay Street Corridor (76),121,2009-11-22T00:00:00,2009,121,"{'type': 'Point', 'coordinates': (-79.38768427, 43.66564487000001)}"
D41,3577507,Shooting,127,Bendale (127),122,2009-11-22T00:00:00,2009,122,"{'type': 'Point', 'coordinates': (-79.26645889, 43.76894103)}"
D31,3687835,Shooting,28,Rustic (28),123,2009-12-03T00:00:00,2009,123,"{'type': 'Point', 'coordinates': (-79.5047176, 43.71574209)}"
D51,3574569,Other,71,Cabbagetown-South St.James Town (71),124,2009-12-05T00:00:00,2009,124,"{'type': 'Point', 'coordinates': (-79.37373773, 43.66729501)}"
D31,3567900,Shooting,21,Humber Summit (21),125,2009-12-06T00:00:00,2009,125,"{'type': 'Point', 'coordinates': (-79.56939982, 43.75669307)}"
D31,3574814,Shooting,113,Weston (113),126,2009-12-07T00:00:00,2009,126,"{'type': 'Point', 'coordinates': (-79.52375096000002, 43.70237456)}"
D31,3565736,Shooting,26,Downsview-Roding-CFB (26),127,2009-12-09T00:00:00,2009,127,"{'type': 'Point', 'coordinates': (-79.52300643, 43.71770465)}"
D42,3566324,Shooting,132,Malvern (132),128,2010-01-07T00:00:00,2010,128,"{'type': 'Point', 'coordinates': (-79.21116678, 43.81185502)}"
D11,3391807,Stabbing,114,Lambton Baby Point (114),129,2009-12-13T00:00:00,2009,129,"{'type': 'Point', 'coordinates': (-79.49857609, 43.66560622)}"
D14,3583884,Other,78,Kensington-Chinatown (78),130,2010-01-24T00:00:00,2010,130,"{'type': 'Point', 'coordinates': (-79.39812372, 43.65026118)}"
D41,3281627,Stabbing,45,Parkwoods-Donalda (45),131,2010-01-27T00:00:00,2010,131,"{'type': 'Point', 'coordinates': (-79.31704552, 43.76202096)}"
D52,3591551,Other,78,Kensington-Chinatown (78),132,2009-12-18T00:00:00,2009,132,"{'type': 'Point', 'coordinates': (-79.39815878000002, 43.65826015)}"
D11,3543317,Shooting,90,Junction Area (90),133,2009-12-29T00:00:00,2009,133,"{'type': 'Point', 'coordinates': (-79.47891986, 43.66556386)}"
D51,3367693,Stabbing,73,Moss Park (73),134,2010-02-03T00:00:00,2010,134,"{'type': 'Point', 'coordinates': (-79.37430926, 43.66291642)}"
D14,3922539,Stabbing,77,Waterfront Communities-The Island (77),135,2011-01-01T00:00:00,2011,135,"{'type': 'Point', 'coordinates': (-79.39963685, 43.64806649)}"
D41,2885827,Shooting,119,Wexford/Maryvale (119),136,2011-01-05T00:00:00,2011,136,"{'type': 'Point', 'coordinates': (-79.27886224, 43.73286173)}"
D43,3737551,Other,136,West Hill (136),137,2011-01-06T00:00:00,2011,137,"{'type': 'Point', 'coordinates': (-79.1947012, 43.76201197)}"
D53,4040426,Other,95,Annex (95),138,2011-01-12T00:00:00,2011,138,"{'type': 'Point', 'coordinates': (-79.39656616, 43.67472452)}"
D13,4033175,Other,102,Forest Hill North (102),139,2011-01-13T00:00:00,2011,139,"{'type': 'Point', 'coordinates': (-79.438461, 43.70462073)}"
D51,3832781,Other,75,Church-Yonge Corridor (75),140,2011-01-23T00:00:00,2011,140,"{'type': 'Point', 'coordinates': (-79.37830693, 43.66628508)}"
D12,3713412,Shooting,30,Brookhaven-Amesbury (30),141,2010-02-07T00:00:00,2010,141,"{'type': 'Point', 'coordinates': (-79.50257386, 43.69841883)}"
D31,3966773,Shooting,22,Humbermede (22),142,2011-02-01T00:00:00,2011,142,"{'type': 'Point', 'coordinates': (-79.54903544, 43.7506496)}"
D31,3530271,Stabbing,27,York University Heights (27),143,2011-02-05T00:00:00,2011,143,"{'type': 'Point', 'coordinates': (-79.48755122, 43.74960771)}"
D12,4017505,Shooting,112,Beechborough-Greenbrook (112),144,2011-02-11T00:00:00,2011,144,"{'type': 'Point', 'coordinates': (-79.48322731, 43.69340979)}"
D43,3948450,Shooting,137,Woburn (137),145,2011-02-11T00:00:00,2011,145,"{'type': 'Point', 'coordinates': (-79.22115919, 43.75960425)}"
D12,4017400,Shooting,113,Weston (113),146,2011-02-16T00:00:00,2011,146,"{'type': 'Point', 'coordinates': (-79.50942334, 43.6973048)}"
D42,3996966,Shooting,132,Malvern (132),147,2011-02-26T00:00:00,2011,147,"{'type': 'Point', 'coordinates': (-79.21762405, 43.79812068)}"
D11,4010034,Shooting,114,Lambton Baby Point (114),148,2011-03-02T00:00:00,2011,148,"{'type': 'Point', 'coordinates': (-79.50146561, 43.66488611)}"
D14,4029641,Other,93,Dovercourt-Wallace Emerson-Junction (93),149,2011-03-03T00:00:00,2011,149,"{'type': 'Point', 'coordinates': (-79.42782131000001, 43.66722081)}"
D23,3973677,Shooting,6,Kingsview Village-The Westway (6),150,2011-03-20T00:00:00,2011,150,"{'type': 'Point', 'coordinates': (-79.55211794, 43.69579839)}"
D11,3914456,Other,85,South Parkdale (85),151,2011-03-21T00:00:00,2011,151,"{'type': 'Point', 'coordinates': (-79.43723509, 43.63692597)}"
D41,3981811,Shooting,124,Kennedy Park (124),152,2011-03-28T00:00:00,2011,152,"{'type': 'Point', 'coordinates': (-79.2555692, 43.73507361)}"
D55,3736070,Shooting,63,The Beaches (63),153,2011-03-28T00:00:00,2011,153,"{'type': 'Point', 'coordinates': (-79.31255363, 43.66724381)}"
D31,3985830,Other,27,York University Heights (27),154,2011-04-15T00:00:00,2011,154,"{'type': 'Point', 'coordinates': (-79.50263094, 43.7653802)}"
D54,3942884,Other,66,Danforth (66),155,2011-04-06T00:00:00,2011,155,"{'type': 'Point', 'coordinates': (-79.32492505, 43.68659896)}"
D23,3832638,Shooting,1,West Humber-Clairville (1),156,2011-04-30T00:00:00,2011,156,"{'type': 'Point', 'coordinates': (-79.55965099, 43.71332026)}"
D42,3985926,Shooting,46,Pleasant View (46),157,2011-05-26T00:00:00,2011,157,"{'type': 'Point', 'coordinates': (-79.33137023, 43.79310642)}"
D31,3448094,Shooting,28,Rustic (28),158,2010-02-08T00:00:00,2010,158,"{'type': 'Point', 'coordinates': (-79.5047176, 43.71574209)}"
D23,4047557,Shooting,1,West Humber-Clairville (1),159,2011-05-29T00:00:00,2011,159,"{'type': 'Point', 'coordinates': (-79.59278328, 43.73908012)}"
D55,3593600,Other,70,South Riverdale (70),160,2010-02-15T00:00:00,2010,160,"{'type': 'Point', 'coordinates': (-79.30861848, 43.66364122000001)}"
D43,3456178,Other,138,Eglinton East (138),161,2010-02-14T00:00:00,2010,161,"{'type': 'Point', 'coordinates': (-79.23789595, 43.73813364)}"
D31,3582659,Shooting,25,Glenfield-Jane Heights (25),162,2011-06-16T00:00:00,2011,162,"{'type': 'Point', 'coordinates': (-79.51644975, 43.75250954)}"
D33,4071110,Stabbing,43,Victoria Village (43),163,2011-07-01T00:00:00,2011,163,"{'type': 'Point', 'coordinates': (-79.30434616, 43.72889221)}"
D43,3984179,Stabbing,139,Scarborough Village (139),164,2011-07-22T00:00:00,2011,164,"{'type': 'Point', 'coordinates': (-79.22206817, 43.74248611)}"
D22,3429437,Shooting,14,Islington-City Centre West (14),165,2011-07-29T00:00:00,2011,165,"{'type': 'Point', 'coordinates': (-79.56318823, 43.65265106)}"
D12,3794249,Other,115,Mount Dennis (115),166,2011-07-29T00:00:00,2011,166,"{'type': 'Point', 'coordinates': (-79.49310368, 43.68830601)}"
