Division,Homicide_Type,Hood_ID,Neighbourhood,Occurrence_Date,Occurrence_year
D53,Other,56,Leaside-Bennington (56),2012-01-01T00:00:00Z,2012
D43,Shooting,120,Clairlea-Birchmount (120),2012-01-21T00:00:00Z,2012
D42,Shooting,132,Malvern (132),2012-01-24T00:00:00Z,2012
D14,Other,93,Dovercourt-Wallace Emerson-Junction (93),2013-01-19T00:00:00Z,2013
D51,Other,75,Church-Yonge Corridor (75),2016-05-18T00:00:00Z,2016
D33,Other,47,Don Valley Village (47),2013-02-02T00:00:00Z,2013
D12,Other,113,Weston (113),2016-04-17T00:00:00Z,2016
D31,Shooting,25,Glenfield-Jane Heights (25),2013-02-11T00:00:00Z,2013
D31,Shooting,22,Humbermede (22),2016-06-03T00:00:00Z,2016
D14,Shooting,82,Niagara (82),2013-02-10T00:00:00Z,2013
D53,Shooting,104,Mount Pleasant West (104),2016-06-07T00:00:00Z,2016
D23,Shooting,2,Mount Olive-Silverstone-Jamestown (2),2013-02-17T00:00:00Z,2013
D14,Shooting,78,Kensington-Chinatown (78),2016-07-01T00:00:00Z,2016
D13,Stabbing,109,Caledonia-Fairbank (109),2013-03-04T00:00:00Z,2013
D14,Shooting,78,Kensington-Chinatown (78),2016-07-01T00:00:00Z,2016
D23,Other,4,Rexdale-Kipling (4),2013-03-06T00:00:00Z,2013
D11,Other,84,Little Portugal (84),2016-07-03T00:00:00Z,2016
D41,Other,119,Wexford/Maryvale (119),2013-03-13T00:00:00Z,2013
D31,Shooting,26,Downsview-Roding-CFB (26),2016-07-13T00:00:00Z,2016
D51,Shooting,73,Moss Park (73),2013-03-21T00:00:00Z,2013
D14,Shooting,85,South Parkdale (85),2016-09-11T00:00:00Z,2016
D51,Other,75,Church-Yonge Corridor (75),2016-07-18T00:00:00Z,2016
D14,Shooting,77,Waterfront Communities-The Island (77),2013-03-28T00:00:00Z,2013
D41,Shooting,127,Bendale (127),2016-07-28T00:00:00Z,2016
D51,Other,73,Moss Park (73),2013-07-09T00:00:00Z,2013
D51,Stabbing,75,Church-Yonge Corridor (75),2016-07-29T00:00:00Z,2016
D32,Shooting,31,Yorkdale-Glen Park (31),2013-03-30T00:00:00Z,2013
D55,Other,69,Blake-Jones (69),2016-08-09T00:00:00Z,2016
D42,Other,116,Steeles (116),2013-02-06T00:00:00Z,2013
D51,Other,73,Moss Park (73),2016-08-15T00:00:00Z,2016
D32,Other,36,Newtonbrook West (36),2013-07-13T00:00:00Z,2013
D51,Other,68,North Riverdale (68),2016-04-19T00:00:00Z,2016
D42,Other,116,Steeles (116),2013-02-06T00:00:00Z,2013
D14,Shooting,82,Niagara (82),2016-08-21T00:00:00Z,2016
D51,Other,72,Regent Park (72),2013-04-06T00:00:00Z,2013
D43,Other,139,Scarborough Village (139),2016-08-25T00:00:00Z,2016
D43,Other,139,Scarborough Village (139),2016-08-25T00:00:00Z,2016
D43,Other,139,Scarborough Village (139),2016-08-25T00:00:00Z,2016
D55,Shooting,70,South Riverdale (70),2016-08-27T00:00:00Z,2016
D31,Stabbing,27,York University Heights (27),2016-09-13T00:00:00Z,2016
D43,Stabbing,127,Bendale (127),2016-09-23T00:00:00Z,2016
D11,Other,91,Weston-Pellam Park (91),2016-09-21T00:00:00Z,2016
D23,Shooting,1,West Humber-Clairville (1),2016-09-30T00:00:00Z,2016
D51,Other,75,Church-Yonge Corridor (75),2014-01-30T00:00:00Z,2014
D12,Shooting,113,Weston (113),2016-10-16T00:00:00Z,2016
D23,Shooting,1,West Humber-Clairville (1),2016-10-18T00:00:00Z,2016
D23,Shooting,6,Kingsview Village-The Westway (6),2016-10-24T00:00:00Z,2016
D43,Shooting,137,Woburn (137),2016-10-27T00:00:00Z,2016
D14,Other,81,Trinity-Bellwoods (81),2016-11-05T00:00:00Z,2016
D33,Shooting,43,Victoria Village (43),2016-11-18T00:00:00Z,2016
D31,Shooting,24,Black Creek (24),2016-11-19T00:00:00Z,2016
D55,Shooting,70,South Riverdale (70),2016-11-27T00:00:00Z,2016
D32,Other,33,Clanton Park (33),2016-12-03T00:00:00Z,2016
D31,Stabbing,25,Glenfield-Jane Heights (25),2016-12-04T00:00:00Z,2016
D54,Shooting,58,Old East York (58),2016-12-07T00:00:00Z,2016
D43,Shooting,139,Scarborough Village (139),2016-12-14T00:00:00Z,2016
D14,Stabbing,84,Little Portugal (84),2016-12-16T00:00:00Z,2016
D12,Shooting,113,Weston (113),2016-12-17T00:00:00Z,2016
D23,Shooting,6,Kingsview Village-The Westway (6),2016-12-18T00:00:00Z,2016
D51,Stabbing,73,Moss Park (73),2016-12-24T00:00:00Z,2016
D51,Shooting,73,Moss Park (73),2017-01-08T00:00:00Z,2017
D42,Other,132,Malvern (132),2016-02-05T00:00:00Z,2016
D42,Other,132,Malvern (132),2016-02-05T00:00:00Z,2016
D42,Other,132,Malvern (132),2016-02-05T00:00:00Z,2016
D42,Other,132,Malvern (132),2016-02-05T00:00:00Z,2016
D31,Shooting,21,Humber Summit (21),2017-01-23T00:00:00Z,2017
D22,Other,17,Mimico (includes Humber Bay Shores) (17),2017-01-26T00:00:00Z,2017
D51,Shooting,73,Moss Park (73),2017-01-30T00:00:00Z,2017
D51,Shooting,72,Regent Park (72),2017-01-30T00:00:00Z,2017
D31,Shooting,25,Glenfield-Jane Heights (25),2017-02-01T00:00:00Z,2017
D54,Shooting,66,Danforth (66),2017-02-05T00:00:00Z,2017
D23,Shooting,5,Elms-Old Rexdale (5),2017-02-06T00:00:00Z,2017
D32,Other,37,Willowdale West (37),2017-02-06T00:00:00Z,2017
D54,Other,54,O'Connor-Parkview (54),2017-02-16T00:00:00Z,2017
